Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
France,Male,46-60,Medium,Low Balance,New Customer,1,0,63349.75,108887.44,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,129499.42,154071.27,High Salary,Normal,0,0
Spain,Male,30-45,Low,Low Balance,Mid-term Customer,2,1,70438.01,56937.43,Medium Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,Long-term Customer,1,0,141434.04,173779.25,High Salary,High Risk,141434.04,1
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,152958.29,159585.61,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,138306.34,106761.47,High Salary,High Risk,0,0
Spain,Female,30-45,High,High Balance,New Customer,1,1,124328.84,140451.52,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,3,1,181461.48,187929.43,High Salary,Normal,181461.48,1
Germany,Female,60+,Low,High Balance,Mid-term Customer,1,0,110368.03,11384.45,Low Salary,High Risk,110368.03,1
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,1,89588.35,94898.1,Medium Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,New Customer,1,0,115924.89,93524.19,Medium Salary,High Risk,115924.89,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,111756.5,8128.32,Low Salary,High Risk,111756.5,1
France,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,162923.85,98368.24,Medium Salary,High Risk,0,0
Germany,Male,30-45,Low,High Balance,Long-term Customer,2,0,124576.65,148584.61,High Salary,High Risk,0,0
France,Male,30-45,High,Low Balance,New Customer,1,1,80793.58,27474.81,Low Salary,Normal,0,0
Germany,Female,30-45,Low,Low Balance,Long-term Customer,1,0,71340.09,76192.21,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,99282.63,134600.94,High Salary,Normal,99282.63,1
Germany,Male,46-60,Medium,High Balance,New Customer,1,1,137946.39,72467.99,Medium Salary,Normal,137946.39,1
Germany,Male,30-45,High,High Balance,New Customer,2,1,127892.57,199645.45,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,101084.36,42749.85,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,114754.08,136050.44,High Salary,High Risk,114754.08,1
France,Female,46-60,High,Low Balance,New Customer,1,1,99286.98,85578.63,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,79871.02,129826.89,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,2,0,104088.59,119666,High Salary,High Risk,0,0
France,Female,30-45,High,High Balance,New Customer,2,0,168190.33,68052.08,Medium Salary,High Risk,0,0
Germany,Female,30-45,Low,Low Balance,New Customer,1,1,85679.25,164104.74,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,121551.58,70179,Medium Salary,Normal,0,0
France,Male,46-60,High,High Balance,New Customer,1,1,122220.19,118024.1,High Salary,Normal,0,0
Spain,Male,46-60,Medium,High Balance,New Customer,1,0,116528.15,145704.19,High Salary,High Risk,116528.15,1
France,Female,Under 30,High,Low Balance,New Customer,1,1,77780.29,183049.41,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,125832.2,100433.83,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,0,68065.8,138777,High Salary,Normal,68065.8,1
Spain,Female,46-60,High,High Balance,Mid-term Customer,2,0,127299.34,124694.99,High Salary,High Risk,0,0
Germany,Female,30-45,Low,High Balance,Mid-term Customer,1,0,174937.64,40084.32,Low Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,110071.1,43921.36,Low Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,1,0,139432.37,62222.81,Medium Salary,High Risk,0,0
France,Female,30-45,High,High Balance,Mid-term Customer,1,1,127357.76,56577,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,1,95556.31,199273.98,High Salary,Normal,95556.31,1
Germany,Male,Under 30,Low,High Balance,New Customer,2,1,111681.98,195711.16,High Salary,Normal,0,0
Spain,Female,Under 30,Medium,High Balance,New Customer,2,0,108738.71,106920.57,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,133950.37,48725.68,Low Salary,Normal,133950.37,1
France,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,89968.69,68777.26,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,3,0,130878.75,71905.77,Medium Salary,High Risk,130878.75,1
Spain,Male,Under 30,Medium,High Balance,Long-term Customer,1,1,134169.62,176730.02,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,149762.08,20629.4,Low Salary,High Risk,149762.08,1
France,Male,Under 30,High,Low Balance,New Customer,1,0,93844.69,28415.36,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,141078.37,34580.8,Low Salary,High Risk,141078.37,1
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,117992.59,183598.77,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,2,0,100812.33,147358.27,High Salary,High Risk,0,0
France,Male,Under 30,Medium,Low Balance,Mid-term Customer,1,1,80262.6,20612.82,Low Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,1,156478.62,181196.76,High Salary,Normal,0,0
Germany,Male,30-45,Low,High Balance,Long-term Customer,2,0,115217.99,144995.33,High Salary,High Risk,0,0
France,Female,30-45,High,High Balance,New Customer,1,1,155470.55,53718.28,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,135096.77,14353.43,Low Salary,Normal,135096.77,1
Germany,Female,46-60,High,High Balance,Long-term Customer,1,1,180075.22,100127.71,High Salary,Normal,0,0
Spain,Male,Under 30,Medium,Low Balance,New Customer,1,1,97541.24,196356.17,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,1,156067.05,9983.88,Low Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,2,1,81550.94,118974.77,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,2,0,170061.92,134901.34,High Salary,High Risk,170061.92,1
Germany,Male,30-45,High,Low Balance,Long-term Customer,2,1,92310.54,72924.56,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,169089.38,101057.95,High Salary,High Risk,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,1,1,80613.93,142838.64,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Long-term Customer,2,1,121581.56,127059.04,High Salary,Normal,0,0
France,Male,46-60,High,Low Balance,Mid-term Customer,1,0,85891.55,74135.48,Medium Salary,Normal,85891.55,1
Spain,Male,30-45,Medium,Low Balance,Long-term Customer,2,1,77637.35,111346.22,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,116927.89,21198.39,Low Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,137326.65,186976.6,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,2,1,67238.98,161811.23,High Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,86569.76,98090.91,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,133598.4,13107.24,Low Salary,Normal,0,0
France,Female,46-60,Medium,High Balance,New Customer,1,1,136188.78,67110.59,Medium Salary,Normal,136188.78,1
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,0,120092.52,135925.72,High Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,101238.24,177815.87,High Salary,Normal,101238.24,1
France,Male,46-60,High,Low Balance,Mid-term Customer,1,1,89685.92,126471.13,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,0,211774.31,188574.12,High Salary,High Risk,211774.31,1
France,Male,46-60,High,High Balance,Mid-term Customer,1,1,131317.48,119175.45,High Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,93722.73,139093.73,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,1,101160.99,115916.55,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,120320.54,96463.25,Medium Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,152827.99,38411.79,Low Salary,High Risk,152827.99,1
France,Male,30-45,Medium,Low Balance,New Customer,1,1,64097.75,77783.35,Medium Salary,Normal,0,0
Spain,Female,46-60,Medium,High Balance,New Customer,2,1,119035.35,29871.79,Low Salary,Normal,0,0
Spain,Female,Under 30,High,High Balance,Mid-term Customer,1,1,135219.57,59747.63,Medium Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,1,1,93694.42,79919.13,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Long-term Customer,1,0,59408.63,76773.53,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,114354.95,54018.93,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,128173.9,59093.39,Medium Salary,High Risk,0,0
Germany,Female,60+,Medium,High Balance,Mid-term Customer,3,1,114931.35,18260.98,Low Salary,Normal,114931.35,1
Germany,Female,Under 30,High,High Balance,New Customer,1,0,111071.36,73275.96,Medium Salary,High Risk,111071.36,1
France,Male,30-45,High,High Balance,Long-term Customer,2,1,151226.18,136129.49,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,64740.12,106841.12,High Salary,Normal,0,0
Spain,Male,46-60,High,High Balance,New Customer,1,0,169312.13,109078.35,High Salary,High Risk,169312.13,1
Spain,Female,30-45,High,High Balance,New Customer,2,0,112652.08,126644.98,High Salary,High Risk,0,0
Germany,Female,30-45,Low,High Balance,Mid-term Customer,2,0,143964.36,41879.99,Low Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,122451.46,75808.1,Medium Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,New Customer,2,0,65253.07,28737.78,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,106901.94,2079.2,Low Salary,Normal,106901.94,1
Spain,Female,Under 30,Medium,High Balance,Long-term Customer,1,0,128509.63,121562.33,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,0,129834.67,193131.42,High Salary,High Risk,0,0
Spain,Female,46-60,Medium,High Balance,New Customer,3,1,154962.99,191932.27,High Salary,Normal,154962.99,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,138241.9,159418.1,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,91536.93,191468.78,High Salary,Normal,91536.93,1
Germany,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,105204.01,138490.03,High Salary,Normal,0,0
Spain,Male,60+,Medium,High Balance,New Customer,1,1,152968.73,82970.69,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,158261.68,76744.72,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,121021.05,12182.15,Low Salary,Normal,0,0
Spain,Female,60+,Medium,High Balance,New Customer,1,1,137715.66,37938.74,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,121192.22,74890.58,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,1,100486.18,62678.53,Medium Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Long-term Customer,2,0,92566.53,161519.77,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,New Customer,1,1,110929.96,30876.84,Low Salary,Normal,0,0
Spain,Female,30-45,Low,High Balance,New Customer,1,0,138901.61,75685.97,Medium Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,2,1,123217.66,144183.1,High Salary,Normal,0,0
Spain,Female,30-45,Medium,High Balance,New Customer,2,1,108431.87,109291.39,High Salary,Normal,108431.87,1
Germany,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,72392.41,77077.14,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,2,0,119741.77,54954.51,Medium Salary,High Risk,119741.77,1
France,Female,46-60,High,High Balance,New Customer,1,0,100946.71,179614.8,High Salary,High Risk,100946.71,1
Spain,Male,46-60,Medium,High Balance,Long-term Customer,1,0,170491.84,35588.07,Low Salary,High Risk,170491.84,1
Spain,Female,46-60,Medium,High Balance,Mid-term Customer,2,0,157296.02,147278.43,High Salary,High Risk,157296.02,1
Germany,Female,30-45,High,High Balance,Mid-term Customer,1,1,144606.22,56594.36,Medium Salary,Normal,144606.22,1
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,134811.3,1299.75,Low Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,1,1,115897.12,25095.03,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,82034,146326.45,High Salary,Normal,0,0
Spain,Female,Under 30,High,High Balance,Mid-term Customer,2,1,174318.13,38296.21,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,114206.84,164061.6,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,1,111574.41,30838.51,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,162448.69,9221.78,Low Salary,High Risk,162448.69,1
Germany,Female,30-45,Low,High Balance,Mid-term Customer,1,1,148249.54,33738.27,Low Salary,Normal,0,0
Spain,Female,Under 30,High,High Balance,Mid-term Customer,2,1,123709.46,169654.57,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Long-term Customer,1,1,150525.8,94728.49,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,111018.98,86410.28,Medium Salary,High Risk,0,0
France,Male,30-45,Low,High Balance,Long-term Customer,1,0,129755.99,172749.65,High Salary,High Risk,0,0
France,Female,60+,Medium,High Balance,New Customer,1,1,129555.7,13601.79,Low Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,New Customer,1,1,87202.38,77866.91,Medium Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,1,1,146133.39,175296.76,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,2,0,170184.99,89593.26,Medium Salary,High Risk,0,0
Germany,Female,60+,Medium,High Balance,Long-term Customer,1,0,140745.33,193437.89,High Salary,High Risk,140745.33,1
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,139070.51,86945,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,114193.24,71154.1,Medium Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Long-term Customer,1,1,167878.5,151887.16,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,1,141616.55,75888.65,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,145747.67,89566.74,Medium Salary,Normal,0,0
Spain,Female,46-60,Low,High Balance,New Customer,1,1,129120.64,26475.79,Low Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,0,110349.82,126355.8,High Salary,High Risk,0,0
France,Male,Under 30,Low,High Balance,New Customer,1,1,141325.56,93839.3,Medium Salary,Normal,0,0
France,Male,46-60,High,Low Balance,New Customer,1,0,78653.84,7698.6,Low Salary,Normal,0,0
Spain,Female,Under 30,High,High Balance,New Customer,1,0,142253.65,45042.56,Low Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,115988.86,57553.98,Medium Salary,High Risk,115988.86,1
Spain,Female,30-45,High,Low Balance,Long-term Customer,1,0,75592.43,62674.42,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,164113.04,12120.79,Low Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,2,0,67996.23,50129.87,Medium Salary,Normal,67996.23,1
France,Male,46-60,Medium,High Balance,New Customer,1,1,138778.15,168840.23,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,Long-term Customer,1,1,147832.15,24234.11,Low Salary,Normal,0,0
France,Female,30-45,High,High Balance,Mid-term Customer,1,0,135438.4,190627.01,High Salary,High Risk,0,0
Spain,Male,46-60,High,High Balance,Mid-term Customer,1,0,116060.08,156618.38,High Salary,High Risk,116060.08,1
France,Female,Under 30,High,High Balance,Mid-term Customer,1,0,112564.62,42334.38,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,1,125406.58,110784.42,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,135134.99,173683,High Salary,High Risk,135134.99,1
France,Female,30-45,High,High Balance,Long-term Customer,1,0,133102.92,27046.46,Low Salary,High Risk,133102.92,1
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,42157.08,20598.59,Low Salary,Normal,42157.08,1
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,82259.29,8996.97,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,150461.07,108139.23,High Salary,High Risk,0,0
Germany,Male,46-60,Low,High Balance,Mid-term Customer,1,1,133994.52,19287.06,Low Salary,Normal,133994.52,1
Spain,Male,30-45,High,High Balance,Long-term Customer,2,1,164870.81,9567.39,Low Salary,Normal,0,0
Germany,Male,Under 30,Low,High Balance,Long-term Customer,1,1,121702.73,132210.49,High Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,193858.2,21600.11,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,2,1,131039.97,199661.5,High Salary,Normal,0,0
France,Male,60+,Medium,High Balance,Long-term Customer,1,1,113829.45,124341.49,High Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,New Customer,1,1,81877.38,33642.21,Low Salary,Normal,0,0
Spain,Male,46-60,Medium,High Balance,Long-term Customer,1,1,116326.07,117704.65,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,127070.73,160941.78,High Salary,Normal,0,0
Spain,Male,46-60,Medium,High Balance,New Customer,1,1,122549.64,56297.85,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,176099.13,8404.73,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,2,0,122388.38,30020.09,Low Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,2,1,118879.35,19131.71,Low Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,88736.44,67020.03,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,1,1,102703.62,147802.94,High Salary,Normal,102703.62,1
